Equipamento;Data/Hora;Codigo Frente (Digitada);Corte Base Automatico/Manual;Descricao Equipamento;Estado;Estado Operacional;Esteira Ligada;Grupo;Grupo Operacao;Horimetro;Implemento Ligado;Latitude;Longitude;Motor Ligado;Operacao;Operador;Pressao de Corte;RPM Extrator;RPM Motor;RTK;Tipo de Equipamento;Trabalhando Frente Dividida;Trabalhando em Fila;Velocidade;Implemento;Tipo Comunicacao
6126;17/03/2025 00:06:20;null;null;Plantadora;DESLOC P/ DESC;TRABALHANDO;null;PLANTADEIRA;Produtiva;2904.7;null;-19,586942036946628;-50,874074300130225;Sim;PLANTIO DE MUDA;SEM OPERADOR;null;null;909;Nao;TRATOR DE PNEU LEVE/MAG 100 ;null;null;2,096;null;SOLINFNET
6126;17/03/2025 00:07:20;null;null;Plantadora;DESLOC P/ DESC;TRABALHANDO;null;PLANTADEIRA;Produtiva;2904.7;null;-19,586894353230807;-50,87408701578778;Sim;PLANTIO DE MUDA;SEM OPERADOR;null;null;894;Nao;TRATOR DE PNEU LEVE/MAG 100 ;null;null;0;null;SOLINFNET
6126;17/03/2025 00:08:44;null;null;Plantadora;DESLOC P/ DESC;TRABALHANDO;null;PLANTADEIRA;Produtiva;2904.75;null;-19,586735407511405;-50,87419509887697;Sim;PLANTIO DE MUDA;SEM OPERADOR;null;null;902;Nao;TRATOR DE PNEU LEVE/MAG 100 ;null;null;0;null;SOLINFNET
6126;17/03/2025 00:10:47;null;null;Plantadora;TRABALHANDO;TRABALHANDO;null;PLANTADEIRA;Produtiva;2904.8;null;-19,58741887410483;-50,87526321411134;Sim;PLANTIO DE MUDA;SEM OPERADOR;null;null;2080;Sim;TRATOR DE PNEU LEVE/MAG 100 ;null;null;5,511;null;SOLINFNET
6126;17/03/2025 00:13:53;null;null;Plantadora;TRABALHANDO;TRABALHANDO;null;PLANTADEIRA;Produtiva;2904.85;null;-19,587619145711276;-50,872618357340514;Sim;PLANTIO DE MUDA;SEM OPERADOR;null;null;2097;Sim;TRATOR DE PNEU LEVE/MAG 100 ;null;null;5,271;null;SOLINFNET
6126;17/03/2025 00:14:53;null;null;Plantadora;TRABALHANDO;TRABALHANDO;null;PLANTADEIRA;Produtiva;2904.85;null;-19,588038762410495;-50,87190628051759;Sim;PLANTIO DE MUDA;SEM OPERADOR;null;null;2057;Sim;TRATOR DE PNEU LEVE/MAG 100 ;null;null;4,896;null;SOLINFNET
6126;17/03/2025 00:19:49;null;null;Plantadora;MANOBRA;MANOBRA;null;PLANTADEIRA;Auxiliar;2904.95;null;-19,590639114379893;-50,8690643310547;Sim;MANOBRA;SEM OPERADOR;null;null;913;Nao;TRATOR DE PNEU LEVE/MAG 100 ;null;null;0;null;SOLINFNET
6126;17/03/2025 00:28:44;null;null;Plantadora;PARADA;PARADA;null;PLANTADEIRA;Perdida;2904.95;null;-19,590674082438163;-50,86936314900718;Nao;AGUARDANDO MUDA;SEM OPERADOR;null;null;0;Nao;TRATOR DE PNEU LEVE/MAG 100 ;null;null;0;null;SOLINFNET
6126;17/03/2025 00:31:57;null;null;Plantadora;DESLOC P/ DESC;TRABALHANDO;null;PLANTADEIRA;Produtiva;2905;null;-19,590661366780612;-50,869382222493506;Sim;PLANTIO DE MUDA;SEM OPERADOR;null;null;1313;Nao;TRATOR DE PNEU LEVE/MAG 100 ;null;null;3,212;null;SOLINFNET
6126;17/03/2025 00:33:19;null;null;Plantadora;DESLOC P/ DESC;TRABALHANDO;null;PLANTADEIRA;Produtiva;2905;null;-19,590655008951835;-50,86915969848634;Sim;PLANTIO DE MUDA;SEM OPERADOR;null;null;949;Nao;TRATOR DE PNEU LEVE/MAG 100 ;null;null;0;null;SOLINFNET
6126;17/03/2025 00:34:28;null;null;Plantadora;DESLOC P/ DESC;TRABALHANDO;null;PLANTADEIRA;Produtiva;2905.05;null;-19,590651830037448;-50,86920420328778;Sim;PLANTIO DE MUDA;SEM OPERADOR;null;null;1223;Nao;TRATOR DE PNEU LEVE/MAG 100 ;null;null;0;null;SOLINFNET
6126;17/03/2025 00:36:47;null;null;Plantadora;TRABALHANDO;TRABALHANDO;null;PLANTADEIRA;Produtiva;2905.1;null;-19,589958826700858;-50,870717366536475;Sim;PLANTIO DE MUDA;SEM OPERADOR;null;null;2021;Sim;TRATOR DE PNEU LEVE/MAG 100 ;null;null;4,771;null;SOLINFNET
6126;17/03/2025 00:37:54;null;null;Plantadora;TRABALHANDO;TRABALHANDO;null;PLANTADEIRA;Produtiva;2905.1;null;-19,58923403422039;-50,871136983235694;Sim;PLANTIO DE MUDA;SEM OPERADOR;null;null;2038;Sim;TRATOR DE PNEU LEVE/MAG 100 ;null;null;5,065;null;SOLINFNET
6126;17/03/2025 00:39:07;null;null;Plantadora;TRABALHANDO;TRABALHANDO;null;PLANTADEIRA;Produtiva;2905.1;null;-19,588420232137057;-50,87155659993491;Sim;PLANTIO DE MUDA;SEM OPERADOR;null;null;2036;Sim;TRATOR DE PNEU LEVE/MAG 100 ;null;null;4,998;null;SOLINFNET
6126;17/03/2025 00:41:24;null;null;Plantadora;TRABALHANDO;TRABALHANDO;null;PLANTADEIRA;Produtiva;2905.15;null;-19,587472915649425;-50,87305704752606;Sim;PLANTIO DE MUDA;SEM OPERADOR;null;null;2032;Sim;TRATOR DE PNEU LEVE/MAG 100 ;null;null;5,223;null;SOLINFNET
6126;17/03/2025 00:42:31;null;null;Plantadora;TRABALHANDO;TRABALHANDO;null;PLANTADEIRA;Produtiva;2905.15;null;-19,587329864501964;-50,87394078572593;Sim;PLANTIO DE MUDA;SEM OPERADOR;null;null;2040;Sim;TRATOR DE PNEU LEVE/MAG 100 ;null;null;5,076;null;SOLINFNET
6126;17/03/2025 00:43:45;null;null;Plantadora;TRABALHANDO;TRABALHANDO;null;PLANTADEIRA;Produtiva;2905.2;null;-19,587409337361667;-50,874919891357436;Sim;PLANTIO DE MUDA;SEM OPERADOR;null;null;2021;Sim;TRATOR DE PNEU LEVE/MAG 100 ;null;null;4,881;null;SOLINFNET
6126;17/03/2025 00:47:17;null;null;Plantadora;PARADA;PARADA;null;PLANTADEIRA;Perdida;2905.25;null;-19,586926142374686;-50,874449412028014;Nao;AGUARDANDO MUDA;SEM OPERADOR;null;null;0;Nao;TRATOR DE PNEU LEVE/MAG 100 ;null;null;0;null;SOLINFNET
6126;17/03/2025 00:48:25;null;null;Plantadora;PARADA;PARADA;null;PLANTADEIRA;Perdida;2905.25;null;-19,58691978454591;-50,874449412028014;Nao;AGUARDANDO MUDA;SEM OPERADOR;null;null;0;Nao;TRATOR DE PNEU LEVE/MAG 100 ;null;null;0;null;SOLINFNET
6126;17/03/2025 00:51:47;null;null;Plantadora;DESLOCAMENTO;DESLOCAMENTO INTERNO;null;PLANTADEIRA;Auxiliar;2905.25;null;-19,585737228393565;-50,871728261311866;Sim;MUDANCA DE AREA RODANDO;SEM OPERADOR;null;null;1377;Nao;TRATOR DE PNEU LEVE/MAG 100 ;null;null;9,813;null;SOLINFNET
